Text,Text Number,License,Text By,Translation By,Language,File Name,Source,ISO639-3,Script,Parallel ID,Story Category
His hoe was too short.,0,CC-BY,Cornelius Gulere,,en,0001_a-very-tall-man.md,global-asp/asp-source,eng,Latn,asp_0001,asp
His doorway was too low.,1,CC-BY,Cornelius Gulere,,en,0001_a-very-tall-man.md,global-asp/asp-source,eng,Latn,asp_0001,asp
His bed was too short.,2,CC-BY,Cornelius Gulere,,en,0001_a-very-tall-man.md,global-asp/asp-source,eng,Latn,asp_0001,asp
His bicycle was too short.,3,CC-BY,Cornelius Gulere,,en,0001_a-very-tall-man.md,global-asp/asp-source,eng,Latn,asp_0001,asp
This man was too tall!,4,CC-BY,Cornelius Gulere,,en,0001_a-very-tall-man.md,global-asp/asp-source,eng,Latn,asp_0001,asp
He made a very long hoe handle.,5,CC-BY,Cornelius Gulere,,en,0001_a-very-tall-man.md,global-asp/asp-source,eng,Latn,asp_0001,asp
He made very high door frames.,6,CC-BY,Cornelius Gulere,,en,0001_a-very-tall-man.md,global-asp/asp-source,eng,Latn,asp_0001,asp
He made a very long bed.,7,CC-BY,Cornelius Gulere,,en,0001_a-very-tall-man.md,global-asp/asp-source,eng,Latn,asp_0001,asp
He bought a very high bicycle.,8,CC-BY,Cornelius Gulere,,en,0001_a-very-tall-man.md,global-asp/asp-source,eng,Latn,asp_0001,asp
He sat on a very high chair. He ate with a very long fork.,9,CC-BY,Cornelius Gulere,,en,0001_a-very-tall-man.md,global-asp/asp-source,eng,Latn,asp_0001,asp
He left his house and lived in a big forest. He lived for many years.,10,CC-BY,Cornelius Gulere,,en,0001_a-very-tall-man.md,global-asp/asp-source,eng,Latn,asp_0001,asp
Alisha needs to find a job because her family needs money for food and clothes.,0,CC BY,Espen Stranger-Johannessen,,en,0001_finding-a-job.md,global-asp/lida-source,eng,Latn,lida_0001,lida
"Alisha did not work in her home country, but she is good at cooking and likes talking to people.",1,CC BY,Espen Stranger-Johannessen,,en,0001_finding-a-job.md,global-asp/lida-source,eng,Latn,lida_0001,lida
Maybe she could work in a restaurant? Alisha searches on the Internet for job postings.,2,CC BY,Espen Stranger-Johannessen,,en,0001_finding-a-job.md,global-asp/lida-source,eng,Latn,lida_0001,lida
